year,rank,title,artist
2012,40,"""Niggas in Paris""",Jay-Z and Kanye West
2012,41,"""The One That Got Away""",Katy Perry
2012,42,"""Feel So Close""",Calvin Harris
2012,43,"""Someone like You""",Adele
2012,44,"""Scream""",Usher
2012,45,"""Rack City""",Tyga
2012,46,"""Domino""",Jessie J
2012,47,"""Gangnam Style""",Psy
2012,48,"""International Love""",Pitbull featuring Chris Brown
2012,49,"""Home""",Phillip Phillips
2012,50,"""Without You""",David Guetta featuring Usher
2012,51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch
2012,52,"""Wanted""",Hunter Hayes
2012,53,"""Drunk on You""",Luke Bryan
2012,54,"""No Lie""",2 Chainz featuring Drake
2012,55,"""Want U Back""",Cher Lloyd
2012,56,"""Don't Wake Me Up""",Chris Brown
2012,57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj
2012,58,"""Springsteen""",Eric Church
2012,59,"""Brokenhearted""",Karmin
2012,60,"""Not Over You""",Gavin DeGraw
2012,61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine
2012,62,"""Back in Time""",Pitbull
2012,63,"""Work Out""",J. Cole
2012,64,"""Rumour Has It""",Adele
2012,65,"""Let's Go""",Calvin Harris featuring Ne-Yo
2012,66,"""Good Girl""",Carrie Underwood
2012,67,"""Pontoon""",Little Big Town
2012,68,"""Ho Hey""",The Lumineers
2012,69,"""Paradise""",Coldplay
2012,70,"""Blown Away""",Carrie Underwood
2012,71,"""Rolling in the Deep""",Adele
2012,72,"""Climax""",Usher
2012,73,"""Work Hard, Play Hard""",Wiz Khalifa
2012,74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo
2012,75,"""Pound the Alarm""",Nicki Minaj
2012,76,"""Come Over""",Kenny Chesney
2012,77,"""Heart Attack""",Trey Songz
2012,78,"""Drank in My Cup""",Kirko Bangz
2012,79,"""Birthday Cake""",Rihanna featuring Chris Brown
2012,80,"""So Good""",B.o.B
2012,81,"""50 Ways to Say Goodbye""",Train
2012,82,"""Red Solo Cup""",Toby Keith
2012,83,"""Love You Like a Love Song""",Selena Gomez & the Scene
2012,84,"""Turn Up the Music""",Chris Brown
2012,85,"""Die Young""",Kesha
2012,86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen
2012,87,"""A Thousand Years""",Christina Perri
2012,88,"""Take a Little Ride""",Jason Aldean
2012,89,"""You da One""",Rihanna
2012,90,"""We Run the Night""",Havana Brown featuring Pitbull
2012,91,"""It's Time""",Imagine Dragons
2012,92,"""Cashin' Out""",Cash Out
2012,93,"""I Don't Want This Night to End""",Luke Bryan
2012,94,"""Diamonds""",Rihanna
2012,95,"""Hard to Love""",Lee Brice
2012,96,"""Somethin' 'Bout a Truck""",Kip Moore
2012,97,"""Adorn""",Miguel
2012,98,"""Fly Over States""",Jason Aldean
2012,99,"""Even If It Breaks Your Heart""",Eli Young Band
2012,100,"""Burn It Down""",Linkin Park
2013,1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz
2013,2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams
2013,3,"""Radioactive""",Imagine Dragons
2013,4,"""Harlem Shake""",Baauer
2013,5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton
2013,6,"""Mirrors""",Justin Timberlake
2013,7,"""Just Give Me a Reason""",Pink featuring Nate Ruess
2013,8,"""When I Was Your Man""",Bruno Mars
2013,9,"""Cruise""",Florida Georgia Line featuring Nelly
2013,10,"""Roar""",Katy Perry
2013,11,"""Locked Out of Heaven""",Bruno Mars
2013,12,"""Ho Hey""",The Lumineers
2013,13,"""Stay""",Rihanna featuring Mikky Ekko
2013,14,"""Get Lucky""",Daft Punk featuring Pharrell Williams
2013,15,"""Royals""",Lorde
2013,16,"""I Knew You Were Trouble""",Taylor Swift
2013,17,"""We Can't Stop""",Miley Cyrus
2013,18,"""Wrecking Ball""",Miley Cyrus
2013,19,"""Wake Me Up""",Avicii
2013,20,"""Suit & Tie""",Justin Timberlake featuring Jay-Z
2013,21,"""Cups (Pitch Perfect's When I'm Gone)""",Anna Kendrick
2013,22,"""Holy Grail""",Jay-Z featuring Justin Timberlake
2013,23,"""Scream & Shout""",will.i.am featuring Britney Spears
2013,24,"""Clarity""",Zedd featuring Foxes
2013,25,"""Sail""",Awolnation
2013,26,"""Don't You Worry Child""",Swedish House Mafia featuring John Martin
2013,27,"""Diamonds""",Rihanna
2013,28,"""I Love It""",Icona Pop featuring Charli XCX
2013,29,"""Safe and Sound""",Capital Cities
2013,30,"""Treasure""",Bruno Mars
2013,31,"""The Way""",Ariana Grande featuring Mac Miller
2013,32,"""Started from the Bottom""",Drake
2013,33,"""Come & Get It""",Selena Gomez
2013,34,"""Hold On, We're Going Home""",Drake featuring Majid Jordan
2013,35,"""Daylight""",Maroon 5
2013,36,"""Feel This Moment""",Pitbull featuring Christina Aguilera
2013,37,"""Applause""",Lady Gaga
2013,38,"""One More Night""",Maroon 5
2013,39,"""Love Me""",Lil Wayne featuring Drake and Future
2013,40,"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy
2013,41,"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
2013,42,"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj
2013,43,"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert
2013,44,"""Sweet Nothing""",Calvin Harris featuring Florence Welch
2013,45,"""Summertime Sadness""",Lana Del Rey and Cédric Gervais
2013,46,"""Home""",Phillip Phillips
2013,47,"""It's Time""",Imagine Dragons
2013,48,"""Power Trip""",J. Cole featuring Miguel
2013,49,"""Girl on Fire""",Alicia Keys featuring Nicki Minaj
2013,50,"""Heart Attack""",Demi Lovato
2013,51,"""Love Somebody""",Maroon 5
2013,52,"""I Will Wait""",Mumford & Sons
2013,53,"""Try""",Pink
2013,54,"""Wagon Wheel""",Darius Rucker
2013,55,"""Gangnam Style""",Psy
2013,56,"""I Need Your Love""",Calvin Harris featuring Ellie Goulding
2013,57,"""Die Young""",Kesha
2013,58,"""Some Nights""",Fun
2013,59,"""Bad""",Wale featuring Tiara Thomas or Rihanna
2013,60,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends
2013,61,"""Gone, Gone, Gone""",Phillip Phillips
2013,62,"""Demons""",Imagine Dragons
2013,63,"""Counting Stars""",OneRepublic
2013,64,"""I Cry""",Flo Rida
2013,65,"""Little Talks""",Of Monsters and Men
2013,66,"""The Other Side""",Jason Derulo
2013,67,"""Berzerk""",Eminem
2013,68,"""Catch My Breath""",Kelly Clarkson
2013,69,"""Crash My Party""",Luke Bryan
2013,70,"""Pour It Up""",Rihanna
2013,71,"""22""",Taylor Swift
2013,72,"""I Want Crazy""",Hunter Hayes
2013,73,"""The Fox (What Does the Fox Say?)""",Ylvis
2013,74,"""Best Song Ever""",One Direction
2013,75,"""The A Team""",Ed Sheeran
2013,76,"""Carry On""",Fun
2013,77,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban
2013,78,"""That's My Kind of Night""",Luke Bryan
2013,79,"""Swimming Pools (Drank)""",Kendrick Lamar
2013,80,"""Sure Be Cool If You Did""",Blake Shelton
2013,81,"""#Beautiful""",Mariah Carey featuring Miguel
2013,82,"""Troublemaker""",Olly Murs featuring Flo Rida
2013,83,"""Body Party""",Ciara
2013,84,"""Adorn""",Miguel
2013,85,"""Hall of Fame""",The Script featuring will.i.am
2013,86,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo
2013,87,"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross
2013,88,"""Next to Me""",Emeli Sandé
2013,89,"""Mama's Broken Heart""",Miranda Lambert
2013,90,"""It Goes Like This""",Thomas Rhett
2013,91,"""Bugatti""",Ace Hood featuring Future and Rick Ross
2013,92,"""Wanted""",Hunter Hayes
2013,93,"""Downtown""",Lady Antebellum
2013,94,"""Get Your Shine On""",Florida Georgia Line
2013,95,"""#thatPower""",will.i.am featuring Justin Bieber
2013,96,"""Brave""",Sara Bareilles
2013,97,"""Let Her Go""",Passenger
2013,98,"""Runnin' Outta Moonlight""",Randy Houser
2013,99,"""I'm Different""",2 Chainz
2013,100,"""Still Into You""",Paramore
2014,1,"""Happy""",Pharrell Williams
2014,2,"""Dark Horse""",Katy Perry featuring Juicy J
2014,3,"""All of Me""",John Legend
2014,4,"""Fancy""",Iggy Azalea featuring Charli XCX
2014,5,"""Counting Stars""",OneRepublic
2014,6,"""Talk Dirty""",Jason Derulo featuring 2 Chainz
2014,7,"""Rude""",Magic!
2014,8,"""All About That Bass""",Meghan Trainor
2014,9,"""Problem""",Ariana Grande featuring Iggy Azalea
2014,10,"""Stay with Me""",Sam Smith
2014,11,"""Timber""",Pitbull featuring Kesha
2014,12,"""Pompeii""",Bastille
2014,13,"""Shake It Off""",Taylor Swift
2014,14,"""Am I Wrong""",Nico & Vinz
2014,15,"""Turn Down for What""",DJ Snake and Lil Jon
2014,16,"""The Monster""",Eminem featuring Rihanna
2014,17,"""Say Something""",A Great Big World and Christina Aguilera
2014,18,"""Team""",Lorde
2014,19,"""Let Her Go""",Passenger
2014,20,"""Royals""",Lorde
2014,21,"""Let It Go""",Idina Menzel
2014,22,"""Wake Me Up""",Avicii
2014,23,"""Demons""",Imagine Dragons
2014,24,"""Story of My Life""",One Direction
2014,25,"""Chandelier""",Sia
2014,26,"""Black Widow""",Iggy Azalea featuring Rita Ora
2014,27,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj"
2014,28,"""Latch""",Disclosure featuring Sam Smith
2014,29,"""Maps""",Maroon 5
2014,30,"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga
2014,31,"""Best Day of My Life""",American Authors
2014,32,"""Habits (Stay High)""",Tove Lo
2014,33,"""Summer""",Calvin Harris
2014,34,"""Boom Clap""",Charli XCX
2014,35,"""Drunk in Love""",Beyoncé featuring Jay-Z
2014,36,"""Anaconda""",Nicki Minaj
2014,37,"""Break Free""",Ariana Grande featuring Zedd
2014,38,"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona
2014,39,"""Burn""",Ellie Goulding
2014,40,"""Wiggle""",Jason Derulo featuring Snoop Dogg
2014,41,"""Rather Be""",Clean Bandit featuring Jess Glynne
2014,42,"""Don't Tell 'Em""",Jeremih featuring YG
2014,43,"""Show Me""",Kid Ink featuring Chris Brown
2014,44,"""Wrecking Ball""",Miley Cyrus
2014,45,"""Not a Bad Thing""",Justin Timberlake
2014,46,"""Roar""",Katy Perry
2014,47,"""Ain't It Fun""",Paramore
2014,48,"""The Man""",Aloe Blacc
2014,49,"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan
2014,50,"""Classic""",MKTO
2014,51,"""A Sky Full of Stars""",Coldplay
2014,52,"""Don't""",Ed Sheeran
2014,53,"""Na Na""",Trey Songz
2014,54,"""Hot Boy""",Bobby Shmurda
2014,55,"""Hold On, We're Going Home""",Drake featuring Majid Jordan
2014,56,"""Sing""",Ed Sheeran
2014,57,"""Radioactive""",Imagine Dragons
2014,58,"""My Hitta""",YG featuring Jeezy and Rich Homie Quan
2014,59,"""Cool Kids""",Echosmith
2014,60,"""Hey Brother""",Avicii
2014,61,"""Trumpets""",Jason Derulo
2014,62,"""Animals""",Maroon 5
2014,63,"""Burnin' It Down""",Jason Aldean
2014,64,"""Play It Again""",Luke Bryan
2014,65,"""2 On""",Tinashe featuring ScHoolboy Q
2014,66,"""Dirt""",Florida Georgia Line
2014,67,"""Love Runs Out""",OneRepublic
2014,68,"""Bottoms Up""",Brantley Gilbert
2014,69,"""Shower""",Becky G
2014,70,"""Me and My Broken Heart""",Rixton
2014,71,"""Animals""",Martin Garrix
2014,72,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan
2014,73,"""American Kids""",Kenny Chesney
2014,74,"""Brave""",Sara Bareilles
2014,75,"""Sweater Weather""",The Neighbourhood
2014,76,"""Leave the Night On""",Sam Hunt
2014,77,"""New Flame""",Chris Brown featuring Usher and Rick Ross
2014,78,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake
2014,79,"""Drunk on a Plane""",Dierks Bentley
2014,80,"""Birthday""",Katy Perry
2014,81,"""Bartender""",Lady Antebellum
2014,82,"""La La La""",Naughty Boy featuring Sam Smith
2014,83,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams
2014,84,"""Do What U Want""",Lady Gaga featuring R. Kelly
2014,85,"""Can't Remember to Forget You""",Shakira featuring Rihanna
2014,86,"""Amnesia""",5 Seconds of Summer
2014,87,"""No Mediocre""",T.I. featuring Iggy Azalea
2014,88,"""Come with Me Now""",KONGOS
2014,89,"""Believe Me""",Lil Wayne featuring Drake
2014,90,"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J"
2014,91,"""Beachin'""",Jake Owen
2014,92,"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis
2014,93,"""She Looks So Perfect""",5 Seconds of Summer
2014,94,"""Stay the Night""",Zedd featuring Hayley Williams
2014,95,"""Partition""",Beyoncé
2014,96,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid
2014,97,"""0 to 100 / The Catch Up""",Drake
2014,98,"""I Don't Dance""",Lee Brice
2014,99,"""Somethin' Bad""",Miranda Lambert and Carrie Underwood
2014,100,"""Adore You""",Miley Cyrus
2015,1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars
2015,2,"""Thinking Out Loud""",Ed Sheeran
2015,3,"""See You Again""",Wiz Khalifa featuring Charlie Puth
2015,4,"""Trap Queen""",Fetty Wap
2015,5,"""Sugar""",Maroon 5
2015,6,"""Shut Up and Dance""",Walk the Moon
2015,7,"""Blank Space""",Taylor Swift
2015,8,"""Watch Me""",Silentó
2015,9,"""Earned It""",The Weeknd
2015,10,"""The Hills""",The Weeknd
2015,11,"""Cheerleader (Felix Jaehn Remix)""",OMI
2015,12,"""Can't Feel My Face""",The Weeknd
2015,13,"""Love Me Like You Do""",Ellie Goulding
2015,14,"""Take Me to Church""",Hozier
2015,15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar
2015,16,"""Lean On""",Major Lazer and DJ Snake featuring MØ
2015,17,"""Want to Want Me""",Jason Derulo
2015,18,"""Shake It Off""",Taylor Swift
2015,19,"""Where Are Ü Now""",Jack Ü featuring Justin Bieber
2015,20,"""Fight Song""",Rachel Platten
2015,21,"""679""",Fetty Wap featuring Remy Boyz
2015,22,"""Lips Are Movin""",Meghan Trainor
2015,23,"""Worth It""",Fifth Harmony featuring Kid Ink
2015,24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko
2015,25,"""Honey, I'm Good.""",Andy Grammer
2015,26,"""I'm Not the Only One""",Sam Smith
2015,27,"""Good for You""",Selena Gomez featuring ASAP Rocky
2015,28,"""All About That Bass""",Meghan Trainor
