year,rank,title,artist,title_clean,artist_clean,primary_artist
2010,22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,dj got us fallin' in love,usher featuring pitbull,usher
2010,23,"""Billionaire""",Travie McCoy featuring Bruno Mars,billionaire,travie mccoy featuring bruno mars,travie mccoy
2010,24,"""Not Afraid""",Eminem,not afraid,eminem,eminem
2010,25,"""Replay""",Iyaz,replay,iyaz,iyaz
2010,26,"""Sexy Bitch""",David Guetta featuring Akon,sexy bitch,david guetta featuring akon,david guetta
2010,27,"""Breakeven""",The Script,breakeven,the script,the script
2010,28,"""Your Love Is My Drug""",Kesha,your love is my drug,kesha,kesha
2010,29,"""I Gotta Feeling""",The Black Eyed Peas,i gotta feeling,the black eyed peas,the black eyed peas
2010,30,"""Fireflies""",Owl City,fireflies,owl city,owl city
2010,31,"""Say Aah""",Trey Songz featuring Fabolous,say aah,trey songz featuring fabolous,trey songz
2010,32,"""Find Your Love""",Drake,find your love,drake,drake
2010,33,"""Alejandro""",Lady Gaga,alejandro,lady gaga,lady gaga
2010,34,"""Ridin' Solo""",Jason Derulo,ridin' solo,jason derulo,jason derulo
2010,35,"""Just a Dream""",Nelly,just a dream,nelly,nelly
2010,36,"""How Low""",Ludacris,how low,ludacris,ludacris
2010,37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,like a g6,far east movement featuring the cataracs and dev,far east movement
2010,38,"""Carry Out""",Timbaland featuring Justin Timberlake,carry out,timbaland featuring justin timberlake,timbaland
2010,39,"""Haven't Met You Yet""",Michael Bublé,haven't met you yet,michael bublé,michael bublé
2010,40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,club can't handle me,flo rida featuring david guetta,flo rida
2010,41,"""Down""",Jay Sean featuring Lil Wayne,down,jay sean featuring lil wayne,jay sean
2010,42,"""Bulletproof""",La Roux,bulletproof,la roux,la roux
2010,43,"""Whatcha Say""",Jason Derulo,whatcha say,jason derulo,jason derulo
2010,44,"""Baby""",Justin Bieber featuring Ludacris,baby,justin bieber featuring ludacris,justin bieber
2010,45,"""Whataya Want from Me""",Adam Lambert,whataya want from me,adam lambert,adam lambert
2010,46,"""Mine""",Taylor Swift,mine,taylor swift,taylor swift
2010,47,"""Only Girl (In the World)""",Rihanna,only girl (in the world),rihanna,rihanna
2010,48,"""Live Like We're Dying""",Kris Allen,live like we're dying,kris allen,kris allen
2010,49,"""Hard""",Rihanna featuring Jeezy,hard,rihanna featuring jeezy,rihanna
2010,50,"""Young Forever""",Jay-Z featuring Mr Hudson,young forever,jay-z featuring mr hudson,jay-z
2010,51,"""Blah Blah Blah""",Kesha featuring 3OH!3,blah blah blah,kesha featuring 3oh!3,kesha
2010,52,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,bottoms up,trey songz featuring nicki minaj,trey songz
2010,53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,do you remember,jay sean featuring sean paul and lil jon,jay sean
2010,54,"""All the Right Moves""",OneRepublic,all the right moves,onerepublic,onerepublic
2010,55,"""According to You""",Orianthi,according to you,orianthi,orianthi
2010,56,"""My Chick Bad""",Ludacris featuring Nicki Minaj,my chick bad,ludacris featuring nicki minaj,ludacris
2010,57,"""You Belong with Me""",Taylor Swift,you belong with me,taylor swift,taylor swift
2010,58,"""Meet Me Halfway""",The Black Eyed Peas,meet me halfway,the black eyed peas,the black eyed peas
2010,59,"""Take It Off""",Kesha,take it off,kesha,kesha
2010,60,"""Over""",Drake,over,drake,drake
2010,61,"""Animal""",Neon Trees,animal,neon trees,neon trees
2010,62,"""Misery""",Maroon 5,misery,maroon 5,maroon 5
2010,63,"""Magic""",B.o.B featuring Rivers Cuomo,magic,b.o.b featuring rivers cuomo,b.o.b
2010,64,"""Paparazzi""",Lady Gaga,paparazzi,lady gaga,lady gaga
2010,65,"""Tie Me Down""",New Boyz featuring Ray J,tie me down,new boyz featuring ray j,new boyz
2010,66,"""Your Love""",Nicki Minaj,your love,nicki minaj,nicki minaj
2010,67,"""Party in the U.S.A.""",Miley Cyrus,party in the u.s.a.,miley cyrus,miley cyrus
2010,68,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall,deuces,chris brown featuring tyga and kevin mccall,chris brown
2010,69,"""3""",Britney Spears,3,britney spears,britney spears
2010,70,"""Impossible""",Shontelle,impossible,shontelle,shontelle
2010,71,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem",forever,"drake featuring kanye west, lil wayne and eminem",drake
2010,72,"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift,two is better than one,boys like girls featuring taylor swift,boys like girls
2010,73,"""My First Kiss""",3OH!3 featuring Kesha,my first kiss,3oh!3 featuring kesha,3oh!3
2010,74,"""Already Gone""",Kelly Clarkson,already gone,kelly clarkson,kelly clarkson
2010,75,"""Rock That Body""",The Black Eyed Peas,rock that body,the black eyed peas,the black eyed peas
2010,76,"""Secrets""",OneRepublic,secrets,onerepublic,onerepublic
2010,77,"""Naturally""",Selena Gomez & the Scene,naturally,selena gomez & the scene,selena gomez
2010,78,"""Un-Thinkable (I'm Ready)""",Alicia Keys,un-thinkable (i'm ready),alicia keys,alicia keys
2010,79,"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",all i do is win,"dj khaled featuring t-pain, ludacris, snoop dogg and rick ross",dj khaled
2010,80,"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",i made it (cash money heroes),"kevin rudolf featuring birdman, jay sean and lil wayne",kevin rudolf
2010,81,"""Stuck Like Glue""",Sugarland,stuck like glue,sugarland,sugarland
2010,82,"""Hey Daddy (Daddy's Home)""",Usher featuring Plies,hey daddy (daddy's home),usher featuring plies,usher
2010,83,"""There Goes My Baby""",Usher,there goes my baby,usher,usher
2010,84,"""Today Was a Fairytale""",Taylor Swift,today was a fairytale,taylor swift,taylor swift
2010,85,"""Say Something""",Timbaland featuring Drake,say something,timbaland featuring drake,timbaland
2010,86,"""Sweet Dreams""",Beyoncé,sweet dreams,beyoncé,beyoncé
2010,87,"""Use Somebody""",Kings of Leon,use somebody,kings of leon,kings of leon
2010,88,"""Undo It""",Carrie Underwood,undo it,carrie underwood,carrie underwood
2010,89,"""Eenie Meenie""",Sean Kingston and Justin Bieber,eenie meenie,sean kingston and justin bieber,sean kingston and justin bieber
2010,90,"""Right Above It""",Lil Wayne featuring Drake,right above it,lil wayne featuring drake,lil wayne
2010,91,"""The House That Built Me""",Miranda Lambert,the house that built me,miranda lambert,miranda lambert
2010,92,"""If I Die Young""",The Band Perry,if i die young,the band perry,the band perry
2010,93,"""The Only Exception""",Paramore,the only exception,paramore,paramore
2010,94,"""American Honey""",Lady Antebellum,american honey,lady antebellum,lady antebellum
2010,95,"""King of Anything""",Sara Bareilles,king of anything,sara bareilles,sara bareilles
2010,96,"""Life After You""",Daughtry,life after you,daughtry,daughtry
2010,97,"""Smile""",Uncle Kracker,smile,uncle kracker,uncle kracker
2010,98,"""Teach Me How to Dougie""",Cali Swag District,teach me how to dougie,cali swag district,cali swag district
2010,99,"""Try Sleeping with a Broken Heart""",Alicia Keys,try sleeping with a broken heart,alicia keys,alicia keys
2010,100,"""Lover, Lover""",Jerrod Niemann,"lover, lover",jerrod niemann,jerrod niemann
2011,1,"""Rolling in the Deep""",Adele,rolling in the deep,adele,adele
2011,2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,party rock anthem,lmfao featuring lauren bennett and goonrock,lmfao
2011,3,"""Firework""",Katy Perry,firework,katy perry,katy perry
2011,4,"""E.T.""",Katy Perry featuring Kanye West,e.t.,katy perry featuring kanye west,katy perry
2011,5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",give me everything,"pitbull featuring ne-yo, afrojack and nayer",pitbull
2011,6,"""Grenade""",Bruno Mars,grenade,bruno mars,bruno mars
2011,7,"""Fuck You (Forget You)""",CeeLo Green,fuck you (forget you),ceelo green,ceelo green
2011,8,"""Super Bass""",Nicki Minaj,super bass,nicki minaj,nicki minaj
2011,9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,moves like jagger,maroon 5 featuring christina aguilera,maroon 5
2011,10,"""Just Can't Get Enough""",The Black Eyed Peas,just can't get enough,the black eyed peas,the black eyed peas
2011,11,"""On the Floor""",Jennifer Lopez featuring Pitbull,on the floor,jennifer lopez featuring pitbull,jennifer lopez
2011,12,"""S&M""",Rihanna,s&m,rihanna,rihanna
2011,13,"""Pumped Up Kicks""",Foster the People,pumped up kicks,foster the people,foster the people
2011,14,"""Last Friday Night (T.G.I.F.)""",Katy Perry,last friday night (t.g.i.f.),katy perry,katy perry
2011,15,"""Just the Way You Are""",Bruno Mars,just the way you are,bruno mars,bruno mars
2011,16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,tonight (i'm lovin' you),enrique iglesias featuring ludacris and dj frank e,enrique iglesias
2011,17,"""Raise Your Glass""",Pink,raise your glass,pink,pink
2011,18,"""Born This Way""",Lady Gaga,born this way,lady gaga,lady gaga
2011,19,"""Fuckin' Perfect""",Pink,fuckin' perfect,pink,pink
2011,20,"""What's My Name?""",Rihanna featuring Drake,what's my name?,rihanna featuring drake,rihanna
2011,21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,look at me now,chris brown featuring lil wayne and busta rhymes,chris brown
2011,22,"""Down on Me""",Jeremih featuring 50 Cent,down on me,jeremih featuring 50 cent,jeremih
2011,23,"""How to Love""",Lil Wayne,how to love,lil wayne,lil wayne
2011,24,"""Someone Like You""",Adele,someone like you,adele,adele
2011,25,"""Good Life""",OneRepublic,good life,onerepublic,onerepublic
2011,26,"""The Lazy Song""",Bruno Mars,the lazy song,bruno mars,bruno mars
2011,27,"""Till the World Ends""",Britney Spears,till the world ends,britney spears,britney spears
2011,28,"""The Show Goes On""",Lupe Fiasco,the show goes on,lupe fiasco,lupe fiasco
2011,29,"""The Edge of Glory""",Lady Gaga,the edge of glory,lady gaga,lady gaga
2011,30,"""We R Who We R""",Kesha,we r who we r,kesha,kesha
2011,31,"""Black and Yellow""",Wiz Khalifa,black and yellow,wiz khalifa,wiz khalifa
2011,32,"""Tonight Tonight""",Hot Chelle Rae,tonight tonight,hot chelle rae,hot chelle rae
2011,33,"""Blow""",Kesha,blow,kesha,kesha
2011,34,"""Lighters""",Bad Meets Evil featuring Bruno Mars,lighters,bad meets evil featuring bruno mars,bad meets evil
2011,35,"""If I Die Young""",The Band Perry,if i die young,the band perry,the band perry
2011,36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,stereo hearts,gym class heroes featuring adam levine,gym class heroes
2011,37,"""The Time (Dirty Bit)""",The Black Eyed Peas,the time (dirty bit),the black eyed peas,the black eyed peas
2011,38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,coming home,diddy – dirty money featuring skylar grey,diddy – dirty money
2011,39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,hey baby (drop it to the floor),pitbull featuring t-pain,pitbull
2011,40,"""Only Girl (In the World)""",Rihanna,only girl (in the world),rihanna,rihanna
2011,41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,6 foot 7 foot,lil wayne featuring cory gunz,lil wayne
2011,42,"""Just a Kiss""",Lady Antebellum,just a kiss,lady antebellum,lady antebellum
2011,43,"""Dirt Road Anthem""",Jason Aldean,dirt road anthem,jason aldean,jason aldean
2011,44,"""Dynamite""",Taio Cruz,dynamite,taio cruz,taio cruz
2011,45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,no hands,waka flocka flame featuring wale and roscoe dash,waka flocka flame
2011,46,"""I Wanna Go""",Britney Spears,i wanna go,britney spears,britney spears
2011,47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",i'm on one,"dj khaled featuring drake, rick ross and lil wayne",dj khaled
2011,48,"""You Make Me Feel...""",Cobra Starship featuring Sabi,you make me feel.,cobra starship featuring sabi,cobra starship
2011,49,"""Yeah 3x""",Chris Brown,yeah 3x,chris brown,chris brown
2011,50,"""Moment 4 Life""",Nicki Minaj featuring Drake,moment 4 life,nicki minaj featuring drake,nicki minaj
2011,51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,i need a doctor,dr. dre featuring eminem and skylar grey,dr. dre
2011,52,"""Just a Dream""",Nelly,just a dream,nelly,nelly
2011,53,"""Motivation""",Kelly Rowland featuring Lil Wayne,motivation,kelly rowland featuring lil wayne,kelly rowland
2011,54,"""Stereo Love""",Edward Maya featuring Vika Jigulina,stereo love,edward maya featuring vika jigulina,edward maya
2011,55,"""Jar of Hearts""",Christina Perri,jar of hearts,christina perri,christina perri
2011,56,"""Roll Up""",Wiz Khalifa,roll up,wiz khalifa,wiz khalifa
2011,57,"""Sexy and I Know It""",LMFAO,sexy and i know it,lmfao,lmfao
2011,58,"""Rocketeer""",Far East Movement featuring Ryan Tedder,rocketeer,far east movement featuring ryan tedder,far east movement
2011,59,"""All of the Lights""",Kanye West,all of the lights,kanye west,kanye west
2011,60,"""Hold It Against Me""",Britney Spears,hold it against me,britney spears,britney spears
2011,61,"""More""",Usher,more,usher,usher
2011,62,"""What the Hell""",Avril Lavigne,what the hell,avril lavigne,avril lavigne
2011,63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner,written in the stars,tinie tempah featuring eric turner,tinie tempah
2011,64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,bottoms up,trey songz featuring nicki minaj,trey songz
2011,65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,dj got us fallin' in love,usher featuring pitbull,usher
2011,66,"""For the First Time""",The Script,for the first time,the script,the script
2011,67,"""Honey Bee""",Blake Shelton,honey bee,blake shelton,blake shelton
2011,68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,don't you wanna stay,jason aldean featuring kelly clarkson,jason aldean
2011,69,"""We Found Love""",Rihanna featuring Calvin Harris,we found love,rihanna featuring calvin harris,rihanna
2011,70,"""Pretty Girl Rock""",Keri Hilson,pretty girl rock,keri hilson,keri hilson
2011,71,"""Yoü and I""",Lady Gaga,yoü and i,lady gaga,lady gaga
2011,72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,like a g6,far east movement featuring the cataracs and dev,far east movement
2011,73,"""Without You""",David Guetta featuring Usher,without you,david guetta featuring usher,david guetta
2011,74,"""Back to December""",Taylor Swift,back to december,taylor swift,taylor swift
2011,75,"""Teenage Dream""",Katy Perry,teenage dream,katy perry,katy perry
2011,76,"""Crazy Girl""",Eli Young Band,crazy girl,eli young band,eli young band
2011,77,"""Cheers (Drink to That)""",Rihanna,cheers (drink to that),rihanna,rihanna
2011,78,"""Who Says""",Selena Gomez & the Scene,who says,selena gomez & the scene,selena gomez
2011,79,"""Barefoot Blue Jean Night""",Jake Owen,barefoot blue jean night,jake owen,jake owen
2011,80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,knee deep,zac brown band featuring jimmy buffett,zac brown band
2011,81,"""Country Girl (Shake It for Me)""",Luke Bryan,country girl (shake it for me),luke bryan,luke bryan
2011,82,"""Remind Me""",Brad Paisley and Carrie Underwood,remind me,brad paisley and carrie underwood,brad paisley and carrie underwood
2011,83,"""In the Dark""",Dev,in the dark,dev,dev
2011,84,"""Backseat""",New Boyz featuring The Cataracs and Dev,backseat,new boyz featuring the cataracs and dev,new boyz
2011,85,"""Headlines""",Drake,headlines,drake,drake
2011,86,"""Best Thing I Never Had""",Beyoncé,best thing i never had,beyoncé,beyoncé
2011,87,"""Don't Wanna Go Home""",Jason Derulo,don't wanna go home,jason derulo,jason derulo
2011,88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,where them girls at,david guetta featuring flo rida and nicki minaj,david guetta
2011,89,"""She Ain't You""",Chris Brown,she ain't you,chris brown,chris brown
2011,90,"""Take a Back Road""",Rodney Atkins,take a back road,rodney atkins,rodney atkins
2011,91,"""Please Don't Go""",Mike Posner,please don't go,mike posner,mike posner
2011,92,"""Sure Thing""",Miguel,sure thing,miguel,miguel
2011,93,"""Price Tag""",Jessie J featuring B.o.B,price tag,jessie j featuring b.o.b,jessie j
2011,94,"""God Gave Me You""",Blake Shelton,god gave me you,blake shelton,blake shelton
2011,95,"""She Will""",Lil Wayne featuring Drake,she will,lil wayne featuring drake,lil wayne
2011,96,"""Are You Gonna Kiss Me or Not""",Thompson Square,are you gonna kiss me or not,thompson square,thompson square
2011,97,"""Animal""",Neon Trees,animal,neon trees,neon trees
2011,98,"""You and Tequila""",Kenny Chesney featuring Grace Potter,you and tequila,kenny chesney featuring grace potter,kenny chesney
2011,99,"""Colder Weather""",Zac Brown Band,colder weather,zac brown band,zac brown band
2011,100,"""My Last""",Big Sean featuring Chris Brown,my last,big sean featuring chris brown,big sean
2012,1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,somebody that i used to know,gotye featuring kimbra,gotye
2012,2,"""Call Me Maybe""",Carly Rae Jepsen,call me maybe,carly rae jepsen,carly rae jepsen
2012,3,"""We Are Young""",Fun featuring Janelle Monáe,we are young,fun featuring janelle monáe,fun
2012,4,"""Payphone""",Maroon 5 featuring Wiz Khalifa,payphone,maroon 5 featuring wiz khalifa,maroon 5
2012,5,"""Lights""",Ellie Goulding,lights,ellie goulding,ellie goulding
2012,6,"""Glad You Came""",The Wanted,glad you came,the wanted,the wanted
2012,7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,stronger (what doesn't kill you),kelly clarkson,kelly clarkson
2012,8,"""We Found Love""",Rihanna featuring Calvin Harris,we found love,rihanna featuring calvin harris,rihanna
2012,9,"""Starships""",Nicki Minaj,starships,nicki minaj,nicki minaj
2012,10,"""What Makes You Beautiful""",One Direction,what makes you beautiful,one direction,one direction
2012,11,"""Wild Ones""",Flo Rida featuring Sia,wild ones,flo rida featuring sia,flo rida
2012,12,"""Set Fire to the Rain""",Adele,set fire to the rain,adele,adele
2012,13,"""Sexy and I Know It""",LMFAO,sexy and i know it,lmfao,lmfao
2012,14,"""Some Nights""",Fun,some nights,fun,fun
2012,15,"""Wide Awake""",Katy Perry,wide awake,katy perry,katy perry
2012,16,"""Good Feeling""",Flo Rida,good feeling,flo rida,flo rida
2012,17,"""Whistle""",Flo Rida,whistle,flo rida,flo rida
2012,18,"""One More Night""",Maroon 5,one more night,maroon 5,maroon 5
2012,19,"""Drive By""",Train,drive by,train,train
2012,20,"""The Motto""",Drake featuring Lil Wayne,the motto,drake featuring lil wayne,drake
2012,21,"""Where Have You Been""",Rihanna,where have you been,rihanna,rihanna
2012,22,"""Everybody Talks""",Neon Trees,everybody talks,neon trees,neon trees
2012,23,"""Take Care""",Drake featuring Rihanna,take care,drake featuring rihanna,drake
2012,24,"""Titanium""",David Guetta featuring Sia,titanium,david guetta featuring sia,david guetta
2012,25,"""I Won't Give Up""",Jason Mraz,i won't give up,jason mraz,jason mraz
2012,26,"""It Will Rain""",Bruno Mars,it will rain,bruno mars,bruno mars
2012,27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",mercy,"kanye west, big sean, pusha t and 2 chainz","kanye west, big sean, pusha t and 2 chainz"
2012,28,"""Boyfriend""",Justin Bieber,boyfriend,justin bieber,justin bieber
2012,29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,party rock anthem,lmfao featuring lauren bennett and goonrock,lmfao
2012,30,"""Too Close""",Alex Clare,too close,alex clare,alex clare
2012,31,"""Part of Me""",Katy Perry,part of me,katy perry,katy perry
2012,32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,"young, wild & free",snoop dogg and wiz khalifa featuring bruno mars,snoop dogg and wiz khalifa
2012,33,"""We Are Never Ever Getting Back Together""",Taylor Swift,we are never ever getting back together,taylor swift,taylor swift
2012,34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,as long as you love me,justin bieber featuring big sean,justin bieber
2012,35,"""Turn Me On""",David Guetta featuring Nicki Minaj,turn me on,david guetta featuring nicki minaj,david guetta
2012,36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,moves like jagger,maroon 5 featuring christina aguilera,maroon 5
2012,37,"""Blow Me (One Last Kiss)""",Pink,blow me (one last kiss),pink,pink
2012,38,"""Good Time""",Owl City and Carly Rae Jepsen,good time,owl city and carly rae jepsen,owl city and carly rae jepsen
2012,39,"""Give Your Heart a Break""",Demi Lovato,give your heart a break,demi lovato,demi lovato
2012,40,"""Niggas in Paris""",Jay-Z and Kanye West,niggas in paris,jay-z and kanye west,jay-z and kanye west
2012,41,"""The One That Got Away""",Katy Perry,the one that got away,katy perry,katy perry
2012,42,"""Feel So Close""",Calvin Harris,feel so close,calvin harris,calvin harris
2012,43,"""Someone like You""",Adele,someone like you,adele,adele
2012,44,"""Scream""",Usher,scream,usher,usher
2012,45,"""Rack City""",Tyga,rack city,tyga,tyga
2012,46,"""Domino""",Jessie J,domino,jessie j,jessie j
2012,47,"""Gangnam Style""",Psy,gangnam style,psy,psy
2012,48,"""International Love""",Pitbull featuring Chris Brown,international love,pitbull featuring chris brown,pitbull
2012,49,"""Home""",Phillip Phillips,home,phillip phillips,phillip phillips
2012,50,"""Without You""",David Guetta featuring Usher,without you,david guetta featuring usher,david guetta
2012,51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,ass back home,gym class heroes featuring neon hitch,gym class heroes
2012,52,"""Wanted""",Hunter Hayes,wanted,hunter hayes,hunter hayes
2012,53,"""Drunk on You""",Luke Bryan,drunk on you,luke bryan,luke bryan
2012,54,"""No Lie""",2 Chainz featuring Drake,no lie,2 chainz featuring drake,2 chainz
2012,55,"""Want U Back""",Cher Lloyd,want u back,cher lloyd,cher lloyd
2012,56,"""Don't Wake Me Up""",Chris Brown,don't wake me up,chris brown,chris brown
2012,57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,dance (a$),big sean featuring nicki minaj,big sean
2012,58,"""Springsteen""",Eric Church,springsteen,eric church,eric church
2012,59,"""Brokenhearted""",Karmin,brokenhearted,karmin,karmin
2012,60,"""Not Over You""",Gavin DeGraw,not over you,gavin degraw,gavin degraw
2012,61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,stereo hearts,gym class heroes featuring adam levine,gym class heroes
2012,62,"""Back in Time""",Pitbull,back in time,pitbull,pitbull
2012,63,"""Work Out""",J. Cole,work out,j. cole,j. cole
2012,64,"""Rumour Has It""",Adele,rumour has it,adele,adele
2012,65,"""Let's Go""",Calvin Harris featuring Ne-Yo,let's go,calvin harris featuring ne-yo,calvin harris
2012,66,"""Good Girl""",Carrie Underwood,good girl,carrie underwood,carrie underwood
2012,67,"""Pontoon""",Little Big Town,pontoon,little big town,little big town
2012,68,"""Ho Hey""",The Lumineers,ho hey,the lumineers,the lumineers
2012,69,"""Paradise""",Coldplay,paradise,coldplay,coldplay
2012,70,"""Blown Away""",Carrie Underwood,blown away,carrie underwood,carrie underwood
2012,71,"""Rolling in the Deep""",Adele,rolling in the deep,adele,adele
2012,72,"""Climax""",Usher,climax,usher,usher
2012,73,"""Work Hard, Play Hard""",Wiz Khalifa,"work hard, play hard",wiz khalifa,wiz khalifa
2012,74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,let me love you (until you learn to love yourself),ne-yo,ne-yo
2012,75,"""Pound the Alarm""",Nicki Minaj,pound the alarm,nicki minaj,nicki minaj
2012,76,"""Come Over""",Kenny Chesney,come over,kenny chesney,kenny chesney
2012,77,"""Heart Attack""",Trey Songz,heart attack,trey songz,trey songz
2012,78,"""Drank in My Cup""",Kirko Bangz,drank in my cup,kirko bangz,kirko bangz
2012,79,"""Birthday Cake""",Rihanna featuring Chris Brown,birthday cake,rihanna featuring chris brown,rihanna
2012,80,"""So Good""",B.o.B,so good,b.o.b,b.o.b
2012,81,"""50 Ways to Say Goodbye""",Train,50 ways to say goodbye,train,train
2012,82,"""Red Solo Cup""",Toby Keith,red solo cup,toby keith,toby keith
2012,83,"""Love You Like a Love Song""",Selena Gomez & the Scene,love you like a love song,selena gomez & the scene,selena gomez
2012,84,"""Turn Up the Music""",Chris Brown,turn up the music,chris brown,chris brown
2012,85,"""Die Young""",Kesha,die young,kesha,kesha
2012,86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,5 o'clock,t-pain featuring wiz khalifa and lily allen,t-pain
2012,87,"""A Thousand Years""",Christina Perri,a thousand years,christina perri,christina perri
2012,88,"""Take a Little Ride""",Jason Aldean,take a little ride,jason aldean,jason aldean
2012,89,"""You da One""",Rihanna,you da one,rihanna,rihanna
2012,90,"""We Run the Night""",Havana Brown featuring Pitbull,we run the night,havana brown featuring pitbull,havana brown
2012,91,"""It's Time""",Imagine Dragons,it's time,imagine dragons,imagine dragons
2012,92,"""Cashin' Out""",Cash Out,cashin' out,cash out,cash out
2012,93,"""I Don't Want This Night to End""",Luke Bryan,i don't want this night to end,luke bryan,luke bryan
2012,94,"""Diamonds""",Rihanna,diamonds,rihanna,rihanna
2012,95,"""Hard to Love""",Lee Brice,hard to love,lee brice,lee brice
2012,96,"""Somethin' 'Bout a Truck""",Kip Moore,somethin' 'bout a truck,kip moore,kip moore
2012,97,"""Adorn""",Miguel,adorn,miguel,miguel
2012,98,"""Fly Over States""",Jason Aldean,fly over states,jason aldean,jason aldean
2012,99,"""Even If It Breaks Your Heart""",Eli Young Band,even if it breaks your heart,eli young band,eli young band
2012,100,"""Burn It Down""",Linkin Park,burn it down,linkin park,linkin park
2013,1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,thrift shop,macklemore & ryan lewis featuring wanz,macklemore
